Gene	scL1P0001	scL1P0002	scL1P0003	scL1P0004	scL1P0005	scL1P0006	scL1P0007	scL1P0008	scL1P0009	scL1P0010	scL1P0011	scL1P0012	scL1P0013	scL1P0014	scL1P0015	scL1P0016	scL1P0017
Q0045	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Q0050	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
Q0055	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Q0060	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0065	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0080	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
Q0105	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Q0115	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Q0120	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Q0130	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0
Q0140	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Q0160	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0250	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
YAL001C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL002W	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YAL003W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YAL005C	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
YAL007C	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YAL009W	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
YAL010C	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YAL011W	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YAL014C	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YAL015C	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YAL016W	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0
YAL017W	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YAL019W	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YAL021C	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL022C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL024C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YAL028W	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
YAL029C	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0
YAL032C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL033W	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL034W-A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL035W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YAL036C	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YAL038W	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YAL039C	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YAL040C	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0
YAL041W	0	1	0	0	0	0	0	1	0	1	1	1	1	0	1	0	1
YAL042W	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL044C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL048C	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YAL051W	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
YAL055W	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YAL056W	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
YAL058W	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
YAL059W	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
YAL062W	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
YAL063C	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
YAL067C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR002C-A	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YAR002W	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YAR007C	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
YAR014C	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAR015W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR018C	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0
YAR033W	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
YAR035W	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR042W	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR050W	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
YAR071W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL001C	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YBL002W	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBL003C	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBL004W	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBL005W	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
YBL006C	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
YBL007C	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0
YBL009W	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
YBL011W	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL013W	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBL014C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL015W	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YBL016W	0	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0
YBL018C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL019W	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL020W	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YBL021C	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL022C	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0
YBL024W	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL026W	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL027W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBL028C	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
YBL030C	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
YBL032W	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0
YBL033C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL035C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL036C	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBL037W	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YBL038W	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
YBL040C	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
YBL041W	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBL042C	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL043W	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YBL045C	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YBL047C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL050W	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
YBL051C	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
YBL052C	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
YBL054W	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL057C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBL058W	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0
YBL063W	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
YBL066C	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YBL067C	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBL069W	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBL072C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBL075C	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
YBL076C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBL078C	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
YBL079W	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
YBL080C	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
YBL084C	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
YBL085W	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0
YBL087C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBL088C	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0
YBL089W	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL090W	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
YBL091C-A	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YBL093C	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YBL097W	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL102W	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL103C	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL105C	0	1	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0
YBL106C	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0
YBR001C	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
YBR002C	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
YBR003W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR004C	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR005W	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YBR006W	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YBR008C	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
YBR009C	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR010W	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR011C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR014C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR015C	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0
YBR016W	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YBR017C	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR019C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR020W	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR021W	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR022W	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR023C	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0
