Gene	scL1P0001	scL1P0002	scL1P0003	scL1P0004	scL1P0005	scL1P0006	scL1P0007	scL1P0008	scL1P0009	scL1P0010	scL1P0011	scL1P0012	scL1P0013	scL1P0014	scL1P0015	scL1P0016	scL1P0017
Q0070	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0085	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0
Q0110	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0275	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
YAL012W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL013W	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL020C	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YAL023C	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YAL025C	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YAL026C	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
YAL030W	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL043C	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YAL047C	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YAL054C	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
YAL060W	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
YAR003W	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
YAR008W	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR019C	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YAR031W	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
YBL008W	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YBL017C	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
YBL023C	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBL025W	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBL034C	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YBL039C	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YBL056W	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0
YBL061C	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0
YBL064C	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YBL068W	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YBL071W-A	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBL074C	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBL082C	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBL091C	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
YBL092W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBL098W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL099W	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
YBL101C	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YBR018C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR038W	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
YBR050C	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
YBR052C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR079C	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBR081C	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1
YBR082C	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0
YBR086C	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YBR087W	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
YBR088C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YBR089C-A	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
YBR091C	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
YBR098W	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YBR105C	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
YBR109C	0	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0
YBR110W	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR120C	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBR131W	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0
YBR136W	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
YBR139W	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR145W	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
YBR146W	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
YBR161W	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YBR172C	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
YBR176W	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YBR179C	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YBR181C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBR182C	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR183W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR188C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR189W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBR193C	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR202W	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR208C	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR214W	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR215W	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR229C	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
YBR240C	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR244W	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YBR248C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR249C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR251W	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
YBR252W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR272C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR276C	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR286W	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YCL005W-A	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0
YCL008C	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
YCL016C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCL030C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCL033C	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YCL034W	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
YCL050C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCL057W	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
YCL069W	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
YCR002C	0	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1
YCR003W	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
